campaign_id,campaign_type,offer_type,audience_segment,device_main,send_day,send_hour,subject_length,has_personalization,subject_sentiment,is_urgent,has_image,nb_links,cta_count,audience_size,marketing_pressure,previous_segment_open_rate,previous_segment_ctr,open_rate,click_rate,conversion_rate
13,onboarding,no_offer,inactive_customer,desktop,saturday,11,66,1,urgent,1,1,2,2,1854,4,0.1971,0.005,0.1442,0.0714,0.0374
14,reactivation,limited_offer,inactive_customer,desktop,sunday,13,21,0,neutral,0,1,1,3,38157,4,0.1018,0.0461,0.084,0.0208,0.0062
15,newsletter,discount,inactive_customer,mobile,monday,7,26,0,neutral,0,0,5,3,50811,3,0.1135,0.026,0.082,0.0347,0.0023
16,reactivation,free_shipping,loyal_customer,mobile,thursday,8,57,0,urgent,1,1,1,2,48254,6,0.3865,0.0796,0.2739,0.1342,0.0587
17,onboarding,limited_offer,inactive_customer,mobile,saturday,15,69,1,urgent,1,0,4,1,30855,2,0.142,0.0123,0.1605,0.0956,0.0557
18,reactivation,free_shipping,prospect,desktop,thursday,7,41,1,positive,0,1,4,2,54351,3,0.232,0.0073,0.2091,0.0476,0.0107
19,newsletter,limited_offer,prospect,mobile,monday,8,71,1,neutral,0,1,4,1,39467,0,0.1601,0.0346,0.1934,0.0971,0.0397
20,newsletter,limited_offer,prospect,mobile,thursday,18,68,1,positive,0,1,5,3,77213,2,0.2331,0.006,0.1722,0.0825,0.0445
21,reactivation,no_offer,inactive_customer,desktop,sunday,7,22,0,neutral,0,1,4,3,74744,3,0.1533,0.0357,0.0566,0.0109,0.001
22,promo,bundle,inactive_customer,desktop,wednesday,13,50,0,neutral,0,0,1,2,24093,1,0.1146,0.0345,0.113,0.0387,0.0205
23,cart_abandonment,no_offer,loyal_customer,mobile,saturday,16,19,0,urgent,1,1,1,3,79069,6,0.3672,0.0759,0.2741,0.1411,0.0882
24,cart_abandonment,bundle,loyal_customer,mobile,monday,15,53,1,urgent,1,1,4,3,56766,6,0.3662,0.0734,0.3039,0.1584,0.1095
25,cart_abandonment,bundle,loyal_customer,mobile,sunday,15,39,1,neutral,0,0,4,2,54006,5,0.2803,0.0914,0.2508,0.1651,0.1079
26,reactivation,bundle,new_customer,mobile,thursday,12,62,0,neutral,0,1,3,3,73615,3,0.2556,0.0254,0.1291,0.0479,0.0303
27,promo,free_shipping,inactive_customer,mobile,tuesday,16,70,0,urgent,1,1,4,1,67617,1,0.1458,0.0152,0.1808,0.0947,0.0378
28,promo,discount,prospect,desktop,sunday,19,56,1,urgent,1,1,5,3,74666,3,0.2275,0.0172,0.1857,0.0666,0.0321
29,newsletter,limited_offer,prospect,desktop,tuesday,18,22,0,positive,0,1,4,1,96435,1,0.221,0.044,0.1872,0.0819,0.0407
30,reactivation,bundle,prospect,desktop,friday,12,22,1,urgent,1,1,2,2,10823,0,0.2042,0.064,0.2062,0.1072,0.0448
31,newsletter,free_shipping,prospect,desktop,saturday,8,66,1,positive,0,1,4,2,12938,3,0.2068,0.0309,0.1528,0.0866,0.0341
32,onboarding,bundle,prospect,mobile,tuesday,17,61,0,neutral,0,0,2,1,93658,1,0.2318,0.0277,0.1978,0.1102,0.0565
33,cart_abandonment,discount,loyal_customer,mobile,monday,16,51,0,neutral,0,1,2,1,39513,4,0.3535,0.0838,0.2449,0.184,0.1354
34,promo,limited_offer,new_customer,desktop,sunday,9,65,0,positive,0,1,5,1,21150,4,0.2906,0.0321,0.218,0.1078,0.0387
35,promo,bundle,loyal_customer,mobile,thursday,10,65,0,neutral,0,1,3,1,80459,3,0.3518,0.0831,0.2786,0.1844,0.0787
36,reactivation,limited_offer,prospect,mobile,thursday,11,52,1,positive,0,1,5,1,61566,0,0.1996,0.0622,0.2314,0.1072,0.0493
37,newsletter,discount,new_customer,mobile,wednesday,12,24,1,positive,0,0,1,2,89858,1,0.2413,0.0274,0.2679,0.0865,0.0483
38,onboarding,no_offer,new_customer,mobile,saturday,19,21,0,neutral,0,1,3,1,27790,2,0.2344,0.0331,0.1501,0.0704,0.0341
39,promo,no_offer,inactive_customer,desktop,monday,8,45,1,neutral,0,1,5,3,43344,6,0.1756,0.048,0.1018,0.0262,0.001
40,newsletter,limited_offer,prospect,mobile,tuesday,12,70,1,positive,0,0,5,1,21559,5,0.188,0.0477,0.155,0.0664,0.0239
41,onboarding,limited_offer,new_customer,mobile,sunday,7,70,1,urgent,1,1,1,3,79859,1,0.3057,0.0329,0.2377,0.1169,0.0537
42,promo,discount,new_customer,desktop,sunday,8,45,0,neutral,0,1,3,2,39088,0,0.2242,0.0709,0.1761,0.1124,0.0555
43,newsletter,no_offer,prospect,mobile,sunday,9,23,1,positive,0,1,1,2,66545,5,0.1978,0.0308,0.1556,0.0342,0.0052
44,promo,limited_offer,prospect,mobile,thursday,17,66,1,positive,0,1,3,3,1384,4,0.1974,0.0351,0.1815,0.0866,0.051
45,onboarding,free_shipping,prospect,mobile,saturday,20,26,0,urgent,1,1,5,2,71080,0,0.0957,0.031,0.1556,0.1042,0.0524
46,onboarding,limited_offer,loyal_customer,mobile,monday,13,32,1,urgent,1,1,3,3,60494,5,0.4162,0.088,0.3572,0.2017,0.1046
47,reactivation,discount,inactive_customer,mobile,friday,17,68,1,positive,0,1,1,3,71173,6,0.2172,0.0284,0.0926,0.038,0.013
48,reactivation,bundle,loyal_customer,mobile,friday,10,41,0,neutral,0,1,2,1,37586,2,0.3576,0.0832,0.2811,0.1313,0.0668
49,newsletter,discount,new_customer,mobile,tuesday,14,42,1,positive,0,1,5,2,29732,1,0.2585,0.0371,0.2524,0.09,0.0442
50,promo,bundle,loyal_customer,mobile,monday,11,58,0,urgent,1,1,1,2,92865,4,0.3253,0.0756,0.2869,0.1737,0.0816
51,promo,no_offer,inactive_customer,desktop,tuesday,14,47,0,urgent,1,1,1,2,65291,0,0.1654,0.0134,0.1709,0.0631,0.0226
52,cart_abandonment,limited_offer,inactive_customer,mobile,saturday,18,40,1,urgent,1,1,2,2,16034,2,0.1617,0.0336,0.1873,0.1493,0.1048
53,cart_abandonment,no_offer,inactive_customer,desktop,monday,19,35,1,neutral,0,1,1,3,11267,1,0.1957,0.0284,0.1625,0.052,0.0398
54,onboarding,bundle,new_customer,mobile,tuesday,15,21,0,urgent,1,1,2,3,7371,6,0.2042,0.051,0.2369,0.1299,0.0755
55,cart_abandonment,limited_offer,inactive_customer,desktop,tuesday,16,58,0,positive,0,1,2,3,76703,2,0.1608,0.0269,0.1706,0.0924,0.0737
56,cart_abandonment,limited_offer,prospect,desktop,saturday,10,47,0,positive,0,1,1,3,25818,6,0.1812,0.0391,0.1719,0.0842,0.0673
57,reactivation,bundle,new_customer,mobile,friday,18,28,1,positive,0,1,1,2,85471,5,0.2558,0.0481,0.2219,0.0975,0.0439
58,promo,limited_offer,inactive_customer,mobile,monday,12,43,0,urgent,1,1,1,1,68584,1,0.1371,0.0218,0.1753,0.101,0.0563
59,reactivation,limited_offer,inactive_customer,mobile,tuesday,19,60,1,urgent,1,1,2,1,88958,1,0.1419,0.0364,0.1743,0.0955,0.0362
60,cart_abandonment,limited_offer,inactive_customer,mobile,wednesday,13,52,0,neutral,0,1,4,2,68444,2,0.233,0.0263,0.2019,0.1157,0.0845
61,promo,no_offer,inactive_customer,mobile,wednesday,14,28,1,neutral,0,0,3,1,16524,4,0.1796,0.0056,0.1479,0.047,0.025
62,cart_abandonment,limited_offer,prospect,mobile,thursday,14,56,1,urgent,1,1,5,2,72520,6,0.2247,0.065,0.2026,0.0967,0.0674
63,promo,discount,new_customer,desktop,saturday,8,31,0,neutral,0,0,3,2,55917,2,0.1956,0.0622,0.1917,0.102,0.0575
64,reactivation,discount,inactive_customer,mobile,tuesday,13,44,1,positive,0,0,1,1,65484,2,0.2281,0.0476,0.1974,0.0653,0.036
65,newsletter,discount,inactive_customer,mobile,sunday,12,30,0,neutral,0,1,4,3,21103,4,0.0828,0.0192,0.1061,0.0662,0.0233
66,cart_abandonment,limited_offer,loyal_customer,mobile,wednesday,10,28,1,urgent,1,1,2,2,91474,3,0.387,0.081,0.3902,0.2139,0.1456
67,onboarding,bundle,loyal_customer,desktop,tuesday,18,53,1,neutral,0,1,5,3,53329,0,0.3965,0.1052,0.3741,0.173,0.0752
68,newsletter,no_offer,new_customer,mobile,wednesday,11,43,1,positive,0,0,1,1,54173,6,0.2362,0.0531,0.19,0.0883,0.0159
69,newsletter,free_shipping,loyal_customer,desktop,monday,16,69,1,positive,0,1,3,3,64731,0,0.2933,0.0432,0.2714,0.1481,0.0694
70,promo,no_offer,loyal_customer,mobile,thursday,10,23,0,positive,0,1,5,3,5757,1,0.2941,0.081,0.2733,0.168,0.0644
71,cart_abandonment,limited_offer,loyal_customer,mobile,tuesday,19,47,1,positive,0,0,3,2,3079,5,0.4171,0.0684,0.3743,0.1497,0.0963
72,cart_abandonment,free_shipping,new_customer,desktop,wednesday,12,68,0,positive,0,0,5,3,41806,2,0.2028,0.0239,0.2039,0.0826,0.0661
73,reactivation,no_offer,inactive_customer,desktop,monday,13,72,0,positive,0,1,5,1,77534,2,0.1817,0.0081,0.0696,0.0145,0.001
74,newsletter,bundle,inactive_customer,mobile,friday,8,52,0,positive,0,1,3,1,87925,6,0.1814,0.0159,0.0938,0.0599,0.0263
75,cart_abandonment,free_shipping,prospect,mobile,friday,11,36,0,neutral,0,1,5,2,9705,0,0.1843,0.0507,0.2159,0.0963,0.0667
76,onboarding,bundle,loyal_customer,mobile,saturday,11,54,1,positive,0,1,2,1,8083,2,0.3582,0.0996,0.3272,0.1872,0.1079
77,promo,bundle,loyal_customer,mobile,monday,9,34,0,urgent,1,1,5,1,61774,0,0.3451,0.0822,0.3417,0.1852,0.0904
78,cart_abandonment,bundle,inactive_customer,mobile,monday,17,23,1,urgent,1,0,4,1,32653,1,0.1367,0.0551,0.1927,0.1153,0.0923
79,cart_abandonment,bundle,inactive_customer,mobile,wednesday,16,39,0,positive,0,1,3,2,97523,4,0.1299,0.0327,0.1478,0.0945,0.0756
80,cart_abandonment,bundle,loyal_customer,mobile,saturday,8,71,1,positive,0,0,4,3,79617,4,0.2689,0.0621,0.2346,0.1628,0.1047
81,newsletter,bundle,inactive_customer,mobile,sunday,13,57,1,neutral,0,1,5,1,60129,3,0.123,0.0272,0.1073,0.0478,0.0127
82,cart_abandonment,free_shipping,loyal_customer,mobile,friday,15,26,0,urgent,1,1,5,3,84559,1,0.409,0.073,0.3591,0.1783,0.112
83,cart_abandonment,no_offer,prospect,mobile,tuesday,17,66,0,urgent,1,1,1,3,21491,5,0.2385,0.0453,0.1977,0.1009,0.074
84,onboarding,limited_offer,new_customer,mobile,saturday,15,62,1,urgent,1,0,1,3,88833,4,0.2709,0.0157,0.2177,0.101,0.0565
85,reactivation,free_shipping,new_customer,desktop,sunday,9,65,0,neutral,0,1,5,2,37062,5,0.238,0.035,0.1696,0.0529,0.0044
86,cart_abandonment,limited_offer,loyal_customer,mobile,monday,18,62,0,neutral,0,1,2,3,24510,3,0.3824,0.105,0.2887,0.2102,0.1281
87,onboarding,bundle,new_customer,mobile,saturday,19,35,1,urgent,1,1,4,2,75038,2,0.2425,0.061,0.227,0.1507,0.0925
88,newsletter,no_offer,prospect,mobile,tuesday,14,61,1,urgent,1,1,1,3,4430,3,0.1891,0.0219,0.1936,0.0556,0.0048
89,promo,discount,prospect,mobile,sunday,20,67,0,urgent,1,0,1,1,91093,6,0.142,0.0169,0.0728,0.0594,0.0407
90,reactivation,no_offer,new_customer,mobile,sunday,14,63,1,neutral,0,1,2,1,25262,3,0.2152,0.0428,0.1186,0.0534,0.0185
91,onboarding,limited_offer,prospect,mobile,friday,9,62,0,urgent,1,0,1,2,83856,0,0.2155,0.0529,0.2328,0.1072,0.0726
92,cart_abandonment,no_offer,prospect,desktop,friday,17,59,1,positive,0,1,1,3,29831,2,0.2736,0.0244,0.2092,0.1094,0.0746
93,newsletter,no_offer,prospect,mobile,tuesday,20,54,0,urgent,1,1,3,3,98820,0,0.1979,0.0322,0.1893,0.0858,0.0162
94,cart_abandonment,bundle,prospect,mobile,wednesday,12,25,1,positive,0,0,2,2,10903,4,0.1744,0.0486,0.2253,0.1343,0.0961
95,promo,free_shipping,loyal_customer,mobile,wednesday,14,44,1,urgent,1,1,3,1,97826,2,0.3261,0.0707,0.352,0.1741,0.0899
96,promo,limited_offer,loyal_customer,mobile,saturday,19,74,0,neutral,0,1,2,3,78236,5,0.3352,0.1085,0.2267,0.1437,0.0657
97,newsletter,discount,prospect,mobile,friday,19,63,0,positive,0,1,2,1,2007,5,0.2356,0.0315,0.1092,0.0645,0.0384
98,onboarding,discount,loyal_customer,desktop,thursday,10,49,1,urgent,1,1,1,2,64888,1,0.3603,0.0746,0.3708,0.204,0.095
99,promo,bundle,prospect,mobile,wednesday,10,29,0,positive,0,0,3,3,30241,6,0.149,0.0289,0.147,0.0608,0.0376
100,onboarding,no_offer,loyal_customer,mobile,wednesday,10,49,0,positive,0,1,3,3,53930,0,0.3696,0.0915,0.3487,0.1723,0.0873
101,onboarding,discount,prospect,mobile,saturday,17,18,0,positive,0,1,2,1,49290,0,0.1625,0.0567,0.1827,0.1393,0.0774
102,newsletter,no_offer,loyal_customer,desktop,friday,17,63,1,neutral,0,0,5,1,6655,3,0.3537,0.1096,0.2733,0.1344,0.0289
103,onboarding,bundle,new_customer,mobile,thursday,15,39,1,neutral,0,1,3,1,61112,4,0.2348,0.0347,0.2811,0.1138,0.0682
104,onboarding,limited_offer,new_customer,mobile,wednesday,7,55,1,neutral,0,1,3,1,44408,3,0.2072,0.081,0.2356,0.1507,0.0884
105,onboarding,free_shipping,inactive_customer,desktop,thursday,8,50,1,positive,0,0,5,2,89652,3,0.1184,0.0084,0.1643,0.0575,0.0305
106,onboarding,free_shipping,new_customer,mobile,saturday,14,28,0,urgent,1,1,1,2,27015,0,0.2318,0.0555,0.2615,0.1483,0.0797
107,promo,free_shipping,loyal_customer,mobile,sunday,20,64,1,urgent,1,0,4,2,28961,5,0.4023,0.0747,0.301,0.1547,0.0688
108,promo,discount,loyal_customer,mobile,monday,19,68,0,urgent,1,1,4,1,84847,4,0.3255,0.0943,0.272,0.2075,0.0959
109,newsletter,limited_offer,loyal_customer,mobile,monday,8,36,0,urgent,1,1,1,3,61315,1,0.2989,0.0779,0.2722,0.1541,0.0732
110,newsletter,no_offer,inactive_customer,desktop,tuesday,11,48,1,urgent,1,1,5,2,40443,3,0.1706,0.005,0.2062,0.0376,0.0115
111,reactivation,discount,loyal_customer,desktop,monday,8,32,1,urgent,1,1,2,3,18778,1,0.3843,0.1057,0.3045,0.1666,0.0766
112,promo,free_shipping,prospect,mobile,saturday,13,59,0,neutral,0,1,5,1,45965,4,0.2078,0.0216,0.1504,0.0826,0.024
113,promo,bundle,loyal_customer,mobile,sunday,13,42,1,positive,0,0,1,3,62272,0,0.3714,0.0806,0.3338,0.1647,0.0723
114,reactivation,discount,new_customer,mobile,thursday,13,64,0,urgent,1,1,2,1,77619,5,0.2864,0.0425,0.1678,0.0929,0.0444
115,cart_abandonment,discount,inactive_customer,mobile,thursday,15,71,0,positive,0,0,5,3,72652,3,0.1964,0.0237,0.1625,0.086,0.0685
116,promo,no_offer,inactive_customer,mobile,sunday,19,37,0,positive,0,0,5,2,28420,0,0.1714,0.023,0.1018,0.0409,0.0186
117,newsletter,no_offer,loyal_customer,desktop,saturday,7,68,0,positive,0,0,5,2,2239,2,0.3675,0.0902,0.2551,0.0872,0.0499
118,reactivation,bundle,prospect,mobile,sunday,10,40,0,urgent,1,1,2,2,83811,6,0.1958,0.0291,0.1275,0.0419,0.0231
119,reactivation,free_shipping,inactive_customer,desktop,sunday,12,22,1,neutral,0,1,1,3,16577,2,0.1591,0.0551,0.1194,0.0455,0.0044
120,cart_abandonment,no_offer,loyal_customer,desktop,friday,14,42,1,urgent,1,1,3,3,48055,5,0.342,0.1095,0.2903,0.1677,0.0879
121,onboarding,free_shipping,new_customer,mobile,wednesday,8,23,0,neutral,0,1,1,1,28208,4,0.2884,0.0518,0.2236,0.1206,0.0681
122,onboarding,limited_offer,inactive_customer,desktop,wednesday,12,51,1,positive,0,1,3,1,4712,5,0.1232,0.0224,0.1559,0.0645,0.0297
123,reactivation,free_shipping,new_customer,mobile,tuesday,13,32,1,neutral,0,1,1,1,9927,0,0.2309,0.0445,0.2175,0.0994,0.054
124,newsletter,no_offer,prospect,mobile,tuesday,15,20,1,urgent,1,1,2,2,93059,4,0.2209,0.0363,0.1672,0.0662,0.001
125,onboarding,no_offer,prospect,desktop,monday,17,65,1,positive,0,1,4,3,59348,4,0.2228,0.0392,0.1586,0.0679,0.0179
126,newsletter,no_offer,loyal_customer,mobile,friday,19,21,0,positive,0,1,3,1,73430,3,0.3316,0.0563,0.2505,0.1461,0.0593
127,onboarding,bundle,inactive_customer,mobile,saturday,7,30,1,urgent,1,0,3,3,45139,1,0.1438,0.0327,0.1898,0.0834,0.0408
128,cart_abandonment,free_shipping,prospect,mobile,wednesday,12,18,0,neutral,0,1,3,1,81758,5,0.1955,0.0357,0.1887,0.0911,0.0697
129,promo,limited_offer,inactive_customer,mobile,friday,16,41,1,urgent,1,1,1,2,35084,3,0.1841,0.0166,0.2203,0.0737,0.0441
130,newsletter,limited_offer,loyal_customer,desktop,wednesday,7,72,1,urgent,1,0,3,2,95880,6,0.3165,0.0653,0.2682,0.1224,0.053
131,reactivation,bundle,inactive_customer,desktop,sunday,13,49,1,neutral,0,1,5,1,58784,5,0.147,0.0146,0.1034,0.0248,0.001
132,cart_abandonment,limited_offer,inactive_customer,mobile,monday,15,66,0,urgent,1,1,3,2,34893,1,0.1008,0.0275,0.1448,0.1157,0.08
133,reactivation,limited_offer,inactive_customer,mobile,monday,10,20,1,urgent,1,1,1,3,73240,3,0.167,0.005,0.1616,0.0548,0.0071
134,cart_abandonment,limited_offer,prospect,mobile,monday,9,39,1,urgent,1,1,2,2,59576,2,0.2112,0.0311,0.303,0.1432,0.0961
135,cart_abandonment,no_offer,prospect,mobile,tuesday,10,22,0,neutral,0,1,1,3,1207,1,0.1967,0.0214,0.2036,0.0956,0.0728
136,cart_abandonment,no_offer,new_customer,desktop,thursday,20,62,0,positive,0,1,5,1,98912,5,0.2583,0.0798,0.1838,0.1068,0.066
137,promo,bundle,new_customer,mobile,sunday,7,70,1,urgent,1,1,2,1,17163,0,0.2195,0.0274,0.1796,0.1049,0.0676
138,cart_abandonment,discount,loyal_customer,mobile,sunday,9,69,0,positive,0,1,2,3,91373,2,0.2917,0.0905,0.3066,0.1625,0.1275
139,reactivation,bundle,loyal_customer,desktop,thursday,18,64,0,positive,0,1,5,3,77957,1,0.348,0.0898,0.2289,0.135,0.0573
140,onboarding,free_shipping,prospect,mobile,friday,8,44,1,neutral,0,1,4,2,49895,1,0.1773,0.0316,0.2115,0.1314,0.0555
141,reactivation,discount,loyal_customer,mobile,wednesday,12,63,0,urgent,1,1,1,2,51200,4,0.3217,0.0822,0.2562,0.136,0.0633
142,promo,limited_offer,loyal_customer,mobile,monday,19,48,1,neutral,0,1,4,3,79213,4,0.3546,0.0857,0.278,0.1404,0.0594
143,promo,no_offer,prospect,mobile,thursday,11,36,0,positive,0,0,3,2,47332,6,0.1831,0.0288,0.1592,0.0457,0.0165
144,promo,limited_offer,inactive_customer,desktop,saturday,18,50,1,positive,0,1,1,1,67918,3,0.1412,0.0392,0.0912,0.0379,0.0303
145,promo,limited_offer,inactive_customer,desktop,saturday,11,69,1,urgent,1,1,3,3,97410,3,0.1205,0.0239,0.142,0.0726,0.0334
146,newsletter,no_offer,new_customer,mobile,saturday,11,71,1,neutral,0,1,2,3,92012,0,0.2283,0.059,0.1855,0.0801,0.0257
147,cart_abandonment,limited_offer,new_customer,mobile,sunday,11,62,0,positive,0,1,1,3,5798,4,0.2042,0.0444,0.2203,0.1098,0.0727
148,reactivation,bundle,inactive_customer,mobile,thursday,10,46,1,urgent,1,1,5,1,54352,0,0.1467,0.032,0.1762,0.0725,0.0306
149,cart_abandonment,no_offer,inactive_customer,mobile,thursday,18,57,1,positive,0,1,2,3,89789,0,0.1408,0.0275,0.1439,0.0815,0.0607
150,promo,bundle,new_customer,desktop,saturday,11,25,0,positive,0,0,3,1,8788,2,0.2917,0.0248,0.2222,0.12,0.0572
151,reactivation,free_shipping,new_customer,mobile,saturday,13,68,0,urgent,1,0,5,1,77295,1,0.2582,0.0647,0.1598,0.0863,0.0442
152,reactivation,discount,inactive_customer,mobile,sunday,20,58,1,neutral,0,1,2,2,35964,3,0.1322,0.0468,0.1088,0.0581,0.0225
153,onboarding,bundle,prospect,desktop,tuesday,18,51,0,urgent,1,1,2,3,46000,0,0.2258,0.005,0.2022,0.0907,0.0585
154,onboarding,no_offer,new_customer,mobile,thursday,18,49,1,positive,0,0,5,3,31841,5,0.235,0.0425,0.2064,0.0698,0.0392
155,cart_abandonment,discount,loyal_customer,mobile,saturday,14,63,1,positive,0,1,4,3,95463,5,0.3151,0.0986,0.3104,0.1824,0.1187
156,cart_abandonment,no_offer,new_customer,mobile,wednesday,10,44,1,positive,0,1,4,1,4754,4,0.2195,0.0486,0.3094,0.1398,0.0687
157,cart_abandonment,discount,prospect,desktop,sunday,19,47,1,neutral,0,1,5,3,89199,1,0.2398,0.0387,0.2122,0.1022,0.0726
158,reactivation,no_offer,prospect,mobile,friday,16,51,0,positive,0,1,3,3,77865,0,0.1814,0.0453,0.0997,0.0702,0.0171
159,reactivation,no_offer,prospect,desktop,tuesday,16,71,1,positive,0,0,1,2,41372,0,0.2338,0.0468,0.1702,0.0708,0.008
160,reactivation,limited_offer,inactive_customer,mobile,saturday,19,21,1,positive,0,1,3,2,68364,5,0.1602,0.0502,0.0715,0.062,0.0161
161,promo,discount,loyal_customer,desktop,wednesday,10,34,1,urgent,1,1,3,1,24225,6,0.3327,0.0867,0.3762,0.1711,0.0802
162,promo,bundle,prospect,mobile,sunday,9,66,1,neutral,0,0,5,2,22817,5,0.202,0.0433,0.1343,0.0285,0.0228
163,onboarding,discount,loyal_customer,mobile,saturday,20,72,1,positive,0,0,4,1,85730,3,0.3457,0.0937,0.3097,0.1665,0.0898
164,reactivation,free_shipping,prospect,desktop,thursday,12,64,1,neutral,0,1,1,2,4471,4,0.2078,0.0277,0.1169,0.0357,0.001
165,onboarding,bundle,loyal_customer,mobile,friday,19,68,1,urgent,1,1,2,3,95788,4,0.298,0.0429,0.2777,0.1426,0.0866
166,newsletter,discount,inactive_customer,desktop,sunday,20,56,1,positive,0,1,1,2,14493,5,0.2028,0.01,0.1125,0.0415,0.0239
167,cart_abandonment,bundle,inactive_customer,desktop,wednesday,10,38,0,urgent,1,0,4,3,1162,6,0.1532,0.0305,0.1864,0.0661,0.0529
168,cart_abandonment,bundle,prospect,desktop,thursday,18,26,1,urgent,1,0,4,2,19681,2,0.1919,0.0365,0.205,0.0897,0.0718
169,onboarding,free_shipping,inactive_customer,mobile,friday,8,49,1,positive,0,1,5,2,78465,3,0.1763,0.0438,0.1694,0.0756,0.0392
170,onboarding,free_shipping,loyal_customer,desktop,tuesday,11,41,0,urgent,1,1,5,1,7588,0,0.3189,0.0727,0.3558,0.1859,0.1102
171,onboarding,limited_offer,prospect,mobile,saturday,14,51,1,positive,0,1,1,1,68169,5,0.2165,0.0285,0.1744,0.0871,0.0462
172,onboarding,no_offer,loyal_customer,mobile,monday,16,51,1,neutral,0,1,4,3,91023,5,0.3595,0.0823,0.2988,0.1296,0.0451
173,reactivation,bundle,inactive_customer,desktop,sunday,10,43,0,positive,0,1,5,3,19133,3,0.1492,0.0327,0.1051,0.0267,0.0054
174,promo,bundle,prospect,mobile,tuesday,14,61,1,positive,0,1,4,3,89664,2,0.1779,0.0546,0.1834,0.0791,0.046
175,newsletter,discount,prospect,desktop,wednesday,18,58,1,positive,0,1,1,3,41846,5,0.1634,0.0368,0.1744,0.0703,0.0321
176,reactivation,no_offer,new_customer,desktop,sunday,9,44,0,urgent,1,1,1,1,90087,4,0.2272,0.0567,0.1764,0.0818,0.017
177,reactivation,no_offer,inactive_customer,mobile,sunday,20,71,1,positive,0,0,3,2,55400,6,0.1283,0.0244,0.03,0.013,0.001
178,reactivation,discount,new_customer,mobile,saturday,11,42,0,positive,0,0,4,2,25217,5,0.2509,0.0494,0.1838,0.0627,0.0227
179,newsletter,discount,prospect,desktop,sunday,12,67,0,urgent,1,1,1,3,88489,6,0.1602,0.0512,0.1203,0.0524,0.0221
180,promo,no_offer,loyal_customer,mobile,monday,11,45,1,neutral,0,0,5,3,19099,1,0.3713,0.0751,0.2868,0.1361,0.063
181,cart_abandonment,discount,inactive_customer,mobile,thursday,12,34,1,neutral,0,1,3,3,79112,3,0.1453,0.0295,0.1669,0.0898,0.0719
182,newsletter,bundle,prospect,mobile,sunday,12,32,0,neutral,0,0,5,1,9179,5,0.1887,0.032,0.1375,0.0541,0.0269
183,newsletter,limited_offer,new_customer,mobile,thursday,12,44,1,urgent,1,0,4,1,75567,5,0.2476,0.044,0.2464,0.1044,0.0482
184,newsletter,no_offer,loyal_customer,mobile,saturday,15,36,1,positive,0,1,3,1,60675,3,0.3527,0.0856,0.278,0.1706,0.0661
185,onboarding,free_shipping,new_customer,desktop,thursday,15,36,1,positive,0,0,5,1,52875,0,0.1834,0.0406,0.2206,0.1228,0.0744
186,reactivation,limited_offer,new_customer,mobile,wednesday,10,21,1,urgent,1,1,5,2,55869,0,0.2141,0.0636,0.2647,0.1141,0.0396
187,cart_abandonment,no_offer,inactive_customer,mobile,wednesday,17,63,1,neutral,0,1,5,1,43946,3,0.168,0.0346,0.1503,0.0964,0.0417
188,onboarding,no_offer,new_customer,mobile,friday,18,63,1,positive,0,1,2,1,83325,4,0.2194,0.0633,0.2083,0.0993,0.0501
